@RELATION Events

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 {Inventory Management,On Time Delivery,Production Management}
@ATTRIBUTE attribute_2 {Inventory in MSU,Production - BRAZIL,Value Stream CFR,Value Stream MTD,Value Stream MTD - ARGENTINA,Value Stream MTD - BRAZIL}
@ATTRIBUTE attribute_3 {ARGENTINA,BRAZIL,COSTA RICA,GUATEMALA,NICARAGUA}
@ATTRIBUTE attribute_4 {ARGENTINA,BRAZIL,COSTA RICA,GUATEMALA,NICARAGUA}
@ATTRIBUTE attribute_5 {%,MSU,d}
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 {"Jose Salazar; Cristian Matamoros;","Laura Camacho; Cristian Matamoros;","Laura Camacho; Hidalgo David; Carlos Lara;","Laura Camacho; Hidalgo David;"}
@ATTRIBUTE attribute_8 {N.A.}
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 {AUMENTAR_20%,AUMENTAR_PRODUCTO,DUPLICAR_HORA,POSTERGAR_PRODUCTO}

@DATA
0,On Time Delivery,Value Stream MTD,COSTA RICA,NICARAGUA,%,98,"Laura Camacho; Hidalgo David;",N.A.,90.59,90.83,100,POSTERGAR_PRODUCTO
1,On Time Delivery,Value Stream CFR,NICARAGUA,GUATEMALA,%,98,"Laura Camacho; Hidalgo David;",N.A.,78.1,77.53,46.96,DUPLICAR_HORA
2,On Time Delivery,Value Stream MTD - BRAZIL,COSTA RICA,BRAZIL,%,98,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,85.76,87.01,100,AUMENTAR_20%
3,On Time Delivery,Value Stream MTD - ARGENTINA,NICARAGUA,ARGENTINA,%,98,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,90.59,90.83,100,POSTERGAR_PRODUCTO
4,Inventory Management,Inventory in MSU ,COSTA RICA,NICARAGUA,MSU,0,"Laura Camacho; Cristian Matamoros;",N.A.,176.45,174.25,183,DUPLICAR_HORA
5,Inventory Management,Inventory in MSU ,BRAZIL,GUATEMALA,MSU,0,"Laura Camacho; Cristian Matamoros;",N.A.,176.45,174.25,183,AUMENTAR_20%
6,Production Management,Production - BRAZIL,BRAZIL,NICARAGUA,d,5000,"Jose Salazar; Cristian Matamoros;",N.A.,4000,4786,5100,POSTERGAR_PRODUCTO
7,On Time Delivery,Value Stream MTD - BRAZIL,ARGENTINA,COSTA RICA,%,120,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,1,5,1,DUPLICAR_HORA
8,On Time Delivery,Inventory in MSU ,GUATEMALA,BRAZIL,MSU,98,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,100,90.59,90.83,AUMENTAR_20%
9,Production Management,Production - BRAZIL,NICARAGUA,COSTA RICA,MSU,120,"Laura Camacho; Cristian Matamoros;",N.A.,46.96,78.1,77.53,POSTERGAR_PRODUCTO
10,Production Management,Value Stream MTD - ARGENTINA,BRAZIL,ARGENTINA,d,120,"Jose Salazar; Cristian Matamoros;",N.A.,100,85.76,87.01,DUPLICAR_HORA
11,Inventory Management,Inventory in MSU ,COSTA RICA,NICARAGUA,%,500,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,100,90.59,90.83,AUMENTAR_20%
12,On Time Delivery,Production - BRAZIL,NICARAGUA,GUATEMALA,%,0,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,183,176.45,174.25,POSTERGAR_PRODUCTO
13,Production Management,Value Stream MTD - ARGENTINA,COSTA RICA,COSTA RICA,MSU,0,"Laura Camacho; Cristian Matamoros;",N.A.,183,176.45,174.25,DUPLICAR_HORA
14,Inventory Management,Value Stream MTD - BRAZIL,COSTA RICA,ARGENTINA,d,98,"Laura Camacho; Cristian Matamoros;",N.A.,5100,4000,4786,AUMENTAR_20%
15,Production Management,Inventory in MSU ,BRAZIL,NICARAGUA,%,98,"Jose Salazar; Cristian Matamoros;",N.A.,1,5100,5,POSTERGAR_PRODUCTO
16,Inventory Management,Value Stream MTD - ARGENTINA,NICARAGUA,GUATEMALA,d,120,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,87.01,1,78.1,DUPLICAR_HORA
17,Inventory Management,Inventory in MSU ,GUATEMALA,NICARAGUA,MSU,120,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,90.83,90.83,85.76,AUMENTAR_20%
18,Inventory Management,Production - BRAZIL,BRAZIL,COSTA RICA,MSU,500,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,174.25,77.53,90.59,POSTERGAR_PRODUCTO
19,Inventory Management,Value Stream MTD - BRAZIL,COSTA RICA,BRAZIL,d,0,"Laura Camacho; Cristian Matamoros;",N.A.,174.25,87.01,176.45,DUPLICAR_HORA
20,Production Management,Inventory in MSU ,NICARAGUA,BRAZIL,%,0,"Laura Camacho; Cristian Matamoros;",N.A.,4786,90.83,176.45,AUMENTAR_PRODUCTO
21,On Time Delivery,Value Stream MTD - ARGENTINA,COSTA RICA,NICARAGUA,MSU,98,"Jose Salazar; Cristian Matamoros;",N.A.,5,174.25,4000,POSTERGAR_PRODUCTO
22,Production Management,Inventory in MSU ,ARGENTINA,GUATEMALA,MSU,0,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,85.76,174.25,1,DUPLICAR_HORA
23,On Time Delivery,Inventory in MSU ,ARGENTINA,BRAZIL,d,5200,"Laura Camacho; Hidalgo David; Carlos Lara;",N.A.,90.59,100,100,AUMENTAR_20%
